Табельный номер,Фамилия.И.О.,Пол,Год рождения,Год начала работы,Подразделение экономической деятельности,Должность,Состояние,Колличество предприятий
575,Метт Ё. И.,Мужчина,1968,2022,Республика Татарстан,Руб Миллионер,169000000,7
576,Сорокина О. Р.,Женщина,1963,2004,Казанская область,Руб Миллионер,947000000,6
577,Вторак Л. Й.,Мужчина,1958,2002,Казанская область,Долл Миллиардер,191000000,4
578,Романова В. Л.,Женщина,1951,2022,Ульяновская область,Долл Миллионер,589000000,1
579,Кузовлев Г. Т.,Мужчина,1955,2022,Казанская область,Руб Миллиардер,585000000,14
580,Кудрявцева Р. Й.,Женщина,1957,2022,Республика Татарстан,Долл Миллиардер,150000000,4
581,Симонцев Э. Ц.,Мужчина,1963,2021,Казанская область,Руб Миллиардер,559000000,8
582,Герасов М. Г.,Мужчина,1972,2022,Ульяновская область,Руб Миллиардер,916000000,7
583,Осипова К. М.,Женщина,1986,2022,Казанская область,Долл Миллионер,488000000,13
584,Юшко Ч. И.,Мужчина,2001,2017,Казанская область,Руб Миллионер,152000000,10
585,Синюков Н. Ч.,Мужчина,1983,2013,Казанская область,Долл Миллионер,509000000,11
586,Горшкова Э. А.,Женщина,2000,2022,Казанская область,Руб Миллионер,379000000,0
587,Хоруженко В. Э.,Мужчина,2009,2022,Ульяновская область,Руб Миллионер,344000000,5
588,Жукова Р. Х.,Женщина,1983,2015,Ульяновская область,Руб Миллионер,658000000,2
589,Макарова Г. Л.,Женщина,1982,2022,Ульяновская область,Руб Миллиардер,142000000,1
590,Панова Ц. Л.,Женщина,1964,2017,Республика Татарстан,Долл Миллиардер,101000000,14
591,Щербакова П. О.,Женщина,2007,2022,Казанская область,Руб Миллиардер,699000000,5
592,Полихов О. Н.,Мужчина,1962,2010,Ульяновская область,Долл Миллиардер,536000000,10
593,Мантров Т. Г.,Мужчина,1966,2022,Казанская область,Долл Миллионер,940000000,3
594,Мельникова Д. Я.,Женщина,1974,2013,Ульяновская область,Долл Миллиардер,741000000,2
595,Симион Н. В.,Мужчина,2000,2015,Казанская область,Руб Миллиардер,263000000,1
596,Никитина Р. Ж.,Женщина,1976,2014,Казанская область,Руб Миллиардер,524000000,6
597,Драшусов К. Н.,Мужчина,1997,2014,Республика Татарстан,Долл Миллионер,8000000,8
598,Жукова Н. У.,Женщина,1958,2018,Казанская область,Руб Миллионер,315000000,3
599,Парфишев П. Ш.,Мужчина,1984,2022,Республика Татарстан,Долл Миллиардер,84000000,15
600,Быкова Б. Н.,Женщина,2005,2022,Республика Татарстан,Долл Миллиардер,105000000,0
601,Гонтарев Э. Щ.,Мужчина,1962,1996,Республика Татарстан,Руб Миллиардер,876000000,15
602,Кардашов Й. Я.,Мужчина,1999,2020,Республика Татарстан,Долл Миллионер,6000000,9
603,Беляева В. Н.,Женщина,1963,2022,Республика Татарстан,Руб Миллиардер,244000000,12
604,Тимошков Ч. В.,Мужчина,1975,2013,Казанская область,Руб Миллиардер,534000000,9
605,Ширшов Л. Ч.,Мужчина,1964,2021,Республика Татарстан,Руб Миллиардер,944000000,14
606,Горшкова Щ. В.,Женщина,1985,2022,Ульяновская область,Долл Миллионер,250000000,7
607,Волошиновський М. Ш.,Мужчина,1979,2022,Казанская область,Долл Миллиардер,376000000,8
608,Филипьев Ч. Т.,Мужчина,1999,2022,Казанская область,Долл Миллионер,374000000,9
609,Новокшонов А. Б.,Мужчина,1973,2022,Республика Татарстан,Долл Миллионер,171000000,2
610,Щербакова Ч. Ю.,Женщина,1970,2020,Казанская область,Руб Миллионер,151000000,5
611,Воронова Й. А.,Женщина,1972,2010,Казанская область,Руб Миллионер,636000000,14
612,Абалаков И. А.,Мужчина,1963,2022,Республика Татарстан,Долл Миллиардер,699000000,7
613,Карпенев Ё. Д.,Мужчина,2009,2022,Республика Татарстан,Руб Миллионер,263000000,4
614,Дураковский Д. Г.,Мужчина,1955,1984,Республика Татарстан,Руб Миллионер,546000000,14
615,Мельникова С. Ш.,Женщина,1965,2022,Ульяновская область,Руб Миллиардер,153000000,12
616,Беляева Н. Ч.,Женщина,1987,2014,Казанская область,Руб Миллиардер,213000000,12
617,Тимофеева Б. У.,Женщина,1973,2022,Республика Татарстан,Руб Миллионер,264000000,4
618,Цыцын Г. Р.,Мужчина,1979,2022,Республика Татарстан,Долл Миллиардер,648000000,2
619,Свинарев Э. Й.,Мужчина,1955,2022,Казанская область,Руб Миллиардер,955000000,9
620,Ванков Ё. Ю.,Мужчина,1979,2022,Ульяновская область,Долл Миллионер,723000000,0
621,Орлова Ш. Э.,Женщина,1979,2022,Казанская область,Долл Миллионер,682000000,9
622,Якушкин Ф. Я.,Мужчина,1976,2004,Ульяновская область,Долл Миллиардер,743000000,5
623,Белокуров О. Ш.,Мужчина,1954,2000,Ульяновская область,Долл Миллионер,923000000,13
624,Передний Т. П.,Мужчина,2010,2022,Республика Татарстан,Долл Миллиардер,888000000,0
625,Зуева Ш. Т.,Женщина,1957,2022,Республика Татарстан,Долл Миллионер,901000000,2
626,Недбаев У. Ш.,Мужчина,1994,2022,Ульяновская область,Долл Миллионер,108000000,8
627,Симонович Э. П.,Мужчина,1956,2022,Ульяновская область,Долл Миллиардер,726000000,2
628,Булавин К. Ж.,Мужчина,1980,2011,Ульяновская область,Долл Миллиардер,300000000,5
629,Фомина Б. Й.,Женщина,1962,1976,Республика Татарстан,Руб Миллиардер,63000000,1
630,Петрянкин С. К.,Мужчина,1972,2022,Казанская область,Долл Миллионер,144000000,15
631,Трофимова Я. Л.,Женщина,1970,2022,Казанская область,Руб Миллионер,841000000,10
632,Поленков Э. Л.,Мужчина,1957,2012,Республика Татарстан,Долл Миллиардер,386000000,9
633,Данилова Е. Т.,Женщина,1982,2022,Ульяновская область,Руб Миллиардер,888000000,0
634,Бедарев Й. Ж.,Мужчина,1977,2022,Казанская область,Руб Миллиардер,10000000,0
635,Сенчугов К. Ф.,Мужчина,1955,2013,Ульяновская область,Долл Миллионер,60000000,5
636,Рябова А. З.,Женщина,1987,2022,Казанская область,Долл Миллиардер,700000000,11
637,Слюсаренко И. Й.,Мужчина,1997,2022,Казанская область,Руб Миллиардер,492000000,12
638,Осипова Е. Щ.,Женщина,1974,2013,Ульяновская область,Долл Миллиардер,624000000,10
639,Чернова Е. Д.,Женщина,1988,2014,Республика Татарстан,Руб Миллиардер,207000000,5
640,Ожгибоков Ф. Э.,Мужчина,1978,1994,Ульяновская область,Руб Миллионер,119000000,4
641,Никитина Й. З.,Женщина,1969,2022,Республика Татарстан,Долл Миллиардер,732000000,5
642,Самусьев Е. Л.,Мужчина,1989,2011,Ульяновская область,Долл Миллионер,409000000,15
643,Ершова Ф. В.,Женщина,1952,2020,Республика Татарстан,Долл Миллионер,699000000,7
644,Демиденок М. Й.,Мужчина,1958,2000,Казанская область,Руб Миллиардер,564000000,8
645,Михеева Р. У.,Женщина,1985,2019,Республика Татарстан,Руб Миллиардер,617000000,12
646,Тимофеева Ф. О.,Женщина,1991,2022,Казанская область,Руб Миллиардер,328000000,6
647,Шингарев Е. Х.,Мужчина,2002,2017,Ульяновская область,Руб Миллионер,252000000,9
648,Мартынова А. В.,Женщина,1951,2015,Республика Татарстан,Долл Миллиардер,152000000,13
649,Фоканов Г. Н.,Мужчина,1985,2022,Республика Татарстан,Руб Миллионер,620000000,13
650,Селезнёва Х. Ф.,Женщина,1968,2022,Ульяновская область,Руб Миллионер,459000000,1
651,Свиридонов М. О.,Мужчина,1957,2018,Ульяновская область,Руб Миллионер,455000000,7
652,Власова Е. К.,Женщина,1977,2022,Республика Татарстан,Долл Миллиардер,257000000,0
653,Бершадский К. Ч.,Мужчина,1997,2022,Ульяновская область,Долл Миллионер,94000000,11
654,Чилимов Д. Х.,Мужчина,1997,2022,Республика Татарстан,Долл Миллионер,590000000,7
655,Синцеров З. У.,Мужчина,2003,2022,Казанская область,Долл Миллионер,917000000,9
656,Новокшонов Ч. Т.,Мужчина,1961,1992,Республика Татарстан,Руб Миллиардер,774000000,9
657,Рудинский П. В.,Мужчина,1956,1972,Казанская область,Долл Миллиардер,465000000,7
658,Киселёва У. Д.,Женщина,1954,2022,Республика Татарстан,Руб Миллионер,803000000,14
659,Панфилова Ё. Ч.,Женщина,1967,1995,Республика Татарстан,Долл Миллиардер,389000000,13
660,Щигловский У. К.,Мужчина,1962,1974,Казанская область,Руб Миллионер,718000000,4
661,Давыдова О. А.,Женщина,1979,2021,Ульяновская область,Долл Миллиардер,209000000,1
662,Ковалёва Е. М.,Женщина,2000,2022,Казанская область,Долл Миллиардер,97000000,12
663,Хлусов Л. Е.,Мужчина,1956,1984,Казанская область,Долл Миллионер,765000000,10
664,Фирсов Э. Ё.,Мужчина,1951,2010,Казанская область,Руб Миллиардер,521000000,1
665,Гераскин У. Ж.,Мужчина,1957,1987,Казанская область,Долл Миллиардер,459000000,6
666,Умаров Е. Н.,Мужчина,2003,2022,Республика Татарстан,Долл Миллиардер,164000000,14
667,Шевченко Э. К.,Мужчина,1990,2022,Республика Татарстан,Руб Миллиардер,274000000,9
668,Данилова Ё. Г.,Женщина,1954,2022,Казанская область,Руб Миллиардер,260000000,3
669,Березкин И. Т.,Мужчина,1962,1982,Республика Татарстан,Долл Миллиардер,817000000,14
670,Тихонова Ц. Ё.,Женщина,1962,1998,Республика Татарстан,Руб Миллиардер,920000000,9
671,Вдовенко Щ. Ё.,Мужчина,1964,2022,Ульяновская область,Долл Миллиардер,479000000,11
672,Сидорова М. Ф.,Женщина,1978,2022,Ульяновская область,Руб Миллионер,168000000,8
673,Вергизов Я. А.,Мужчина,1959,2013,Республика Татарстан,Долл Миллиардер,751000000,11
674,Олешкин А. О.,Мужчина,1960,2022,Казанская область,Руб Миллионер,471000000,0
675,Самопалов Ц. Ж.,Мужчина,1987,2010,Казанская область,Руб Миллиардер,948000000,7
676,Степанова Н. Й.,Женщина,1951,2022,Ульяновская область,Долл Миллиардер,696000000,13
677,Громова Д. Щ.,Женщина,1962,2022,Ульяновская область,Долл Миллионер,603000000,3
678,Фомина Б. Ц.,Женщина,1972,2022,Ульяновская область,Руб Миллиардер,745000000,7
679,Качалкин Ю. Ё.,Мужчина,1953,1983,Казанская область,Долл Миллиардер,352000000,12
680,Исакова Р. К.,Женщина,1970,1989,Ульяновская область,Долл Миллиардер,669000000,8
681,Ренев К. Т.,Мужчина,1992,2017,Ульяновская область,Руб Миллиардер,291000000,5
682,Дорофеева Ш. О.,Женщина,1968,2021,Казанская область,Руб Миллиардер,864000000,6
683,Денисова Т. З.,Женщина,1988,2022,Казанская область,Долл Миллиардер,8000000,2
684,Фасин Ф. К.,Мужчина,1990,2022,Ульяновская область,Руб Миллионер,467000000,9
685,Горбушов Л. Т.,Мужчина,1977,1994,Казанская область,Долл Миллиардер,444000000,2
686,Вычегжанин Э. Я.,Мужчина,2010,2022,Республика Татарстан,Долл Миллионер,518000000,11
687,Захарова З. Р.,Женщина,1958,2022,Казанская область,Долл Миллиардер,772000000,15
688,Гусева В. Э.,Женщина,1952,2022,Республика Татарстан,Руб Миллиардер,474000000,12
689,Ярославцев Ц. Ж.,Мужчина,2003,2022,Казанская область,Долл Миллиардер,149000000,12
690,Басаргин Б. У.,Мужчина,1982,2022,Республика Татарстан,Долл Миллиардер,878000000,7
691,Лавренов О. А.,Мужчина,1982,2022,Казанская область,Долл Миллиардер,178000000,11
692,Ильина В. Х.,Женщина,1956,1989,Казанская область,Долл Миллионер,5000000,14
693,Вельский С. Ц.,Мужчина,1978,2005,Ульяновская область,Руб Миллионер,871000000,8
694,Блинова Г. Й.,Женщина,1977,2022,Республика Татарстан,Долл Миллионер,93000000,7
695,Маслова Р. К.,Женщина,1972,2022,Казанская область,Руб Миллиардер,530000000,9
696,Мухина Г. Е.,Женщина,2009,2022,Республика Татарстан,Руб Миллионер,744000000,14
697,Полякова Р. У.,Женщина,2000,2022,Казанская область,Руб Миллионер,279000000,0
698,Тимшин Г. Я.,Мужчина,1980,2022,Республика Татарстан,Руб Миллиардер,553000000,10
699,Суворова Д. Ф.,Женщина,1991,2022,Республика Татарстан,Долл Миллиардер,251000000,15
700,Орлова Ц. А.,Женщина,1998,2012,Ульяновская область,Руб Миллионер,737000000,15
701,Белый М. Я.,Мужчина,1987,2002,Казанская область,Руб Миллионер,416000000,6
702,Прохоренко Е. И.,Мужчина,1969,2022,Республика Татарстан,Долл Миллиардер,156000000,4
703,Тетивкин Л. В.,Мужчина,1979,2022,Республика Татарстан,Долл Миллиардер,417000000,7
704,Дубовец К. Е.,Мужчина,1983,2022,Республика Татарстан,Руб Миллионер,44000000,5
705,Недохлебов Щ. С.,Мужчина,1994,2022,Казанская область,Долл Миллионер,885000000,3
706,Филиппович Е. Р.,Мужчина,2001,2022,Республика Татарстан,Руб Миллиардер,806000000,8
707,Филькин И. О.,Мужчина,1986,2022,Казанская область,Руб Миллиардер,217000000,15
708,Горбунова У. С.,Женщина,1966,2022,Ульяновская область,Долл Миллиардер,769000000,14
709,Посейдонов Ш. Ё.,Мужчина,1966,2022,Казанская область,Долл Миллионер,55000000,4
710,Матвеева В. Р.,Женщина,1970,2018,Казанская область,Долл Миллионер,817000000,6
711,Полякова Ч. С.,Женщина,1990,2022,Казанская область,Долл Миллионер,435000000,8
712,Осипова Ч. М.,Женщина,1958,2022,Казанская область,Долл Миллионер,340000000,2
713,Хвастов О. А.,Мужчина,1969,2022,Казанская область,Долл Миллиардер,879000000,15
714,Никифорова В. Х.,Женщина,1970,2022,Республика Татарстан,Руб Миллиардер,380000000,1
715,Ульев Л. Я.,Мужчина,1995,2022,Казанская область,Долл Миллионер,441000000,0
716,Исакова Г. В.,Женщина,2006,2022,Казанская область,Руб Миллиардер,613000000,8
717,Крылова И. У.,Женщина,1982,1998,Казанская область,Долл Миллиардер,939000000,10
718,Дарюсин Т. Ц.,Мужчина,1978,2000,Казанская область,Долл Миллионер,816000000,1
719,Цыганенко Р. С.,Мужчина,1956,1996,Казанская область,Руб Миллионер,472000000,11
720,Платошкин У. Л.,Мужчина,2006,2022,Казанская область,Руб Миллионер,733000000,5
721,Архипова Ф. С.,Женщина,1960,2003,Ульяновская область,Руб Миллионер,97000000,6
722,Боброва Н. Ё.,Женщина,1997,2022,Казанская область,Руб Миллионер,54000000,11
723,Кушвид К. Н.,Мужчина,1959,2022,Казанская область,Руб Миллионер,381000000,9
724,Терский Э. Е.,Мужчина,1967,2022,Ульяновская область,Руб Миллиардер,77000000,2
725,Финагенов З. Ш.,Мужчина,2005,2022,Ульяновская область,Руб Миллионер,620000000,1
726,Овинников К. И.,Мужчина,1981,2022,Ульяновская область,Долл Миллионер,870000000,3
727,Яковлева Ю. Л.,Женщина,1983,2019,Ульяновская область,Руб Миллионер,390000000,11
728,Лоторов Ч. А.,Мужчина,2010,2022,Казанская область,Долл Миллиардер,12000000,4
729,Дорофеева Ч. У.,Женщина,1996,2022,Ульяновская область,Долл Миллионер,501000000,5
730,Лашкевич З. М.,Мужчина,2000,2022,Ульяновская область,Долл Миллиардер,787000000,10
731,Царственый Р. Ц.,Мужчина,1972,2022,Республика Татарстан,Руб Миллиардер,568000000,12
732,Хитрово Х. Ж.,Мужчина,1950,2022,Казанская область,Руб Миллионер,585000000,5
733,Полякова О. М.,Женщина,1984,2022,Ульяновская область,Долл Миллиардер,318000000,9
734,Галкина Т. Р.,Женщина,1969,1986,Республика Татарстан,Долл Миллиардер,141000000,10
735,Брусиловский И. З.,Мужчина,1981,2011,Ульяновская область,Руб Миллиардер,12000000,8
736,Маркова Р. Й.,Женщина,1971,2022,Казанская область,Долл Миллионер,939000000,10
737,Варченко М. С.,Мужчина,1953,2022,Казанская область,Руб Миллионер,56000000,5
738,Савельева Е. Т.,Женщина,1979,2016,Ульяновская область,Руб Миллиардер,514000000,10
739,Цырулик Ш. Ф.,Мужчина,1998,2022,Республика Татарстан,Руб Миллиардер,474000000,7
740,Родюков Т. Э.,Мужчина,1995,2022,Казанская область,Руб Миллиардер,207000000,5
741,Титова Е. Ш.,Женщина,2003,2022,Республика Татарстан,Долл Миллионер,950000000,12
742,Черносовкин Ю. Ю.,Мужчина,1989,2022,Казанская область,Руб Миллиардер,751000000,14
743,Калязин Э. К.,Мужчина,2005,2022,Казанская область,Руб Миллионер,902000000,15
744,Яволов М. Ю.,Мужчина,1981,2014,Ульяновская область,Руб Миллионер,619000000,5
745,Архипова И. Л.,Женщина,1963,2004,Ульяновская область,Руб Миллионер,684000000,14
746,Тряпкин З. Л.,Мужчина,1958,2004,Республика Татарстан,Долл Миллионер,681000000,5
747,Лазутин Ё. Т.,Мужчина,1964,1976,Казанская область,Долл Миллиардер,426000000,5
748,Савельева Д. Щ.,Женщина,2006,2022,Ульяновская область,Долл Миллиардер,177000000,12
749,Филиппова К. Н.,Женщина,1991,2022,Ульяновская область,Руб Миллионер,417000000,15
750,Чернова И. Л.,Женщина,1994,2022,Казанская область,Руб Миллионер,108000000,0
751,Селезнёва О. Т.,Женщина,1999,2022,Республика Татарстан,Долл Миллиардер,64000000,0
752,Федотычев Е. Е.,Мужчина,2008,2022,Казанская область,Руб Миллиардер,128000000,10
753,Жукова М. Е.,Женщина,1972,2012,Казанская область,Руб Миллиардер,655000000,1
754,Федорчук Ё. Ц.,Мужчина,1993,2014,Республика Татарстан,Долл Миллионер,955000000,9
755,Сорокина З. И.,Женщина,2005,2022,Казанская область,Долл Миллиардер,93000000,9
756,Родионова О. О.,Женщина,1963,1981,Казанская область,Долл Миллионер,371000000,5
757,Лобов Щ. Ц.,Мужчина,1992,2022,Ульяновская область,Руб Миллиардер,396000000,6
758,Джиоев З. Й.,Мужчина,1970,2022,Ульяновская область,Долл Миллиардер,108000000,2
759,Мухина С. З.,Женщина,1995,2022,Казанская область,Долл Миллиардер,600000000,15
760,Мартынова И. Ж.,Женщина,2002,2022,Казанская область,Долл Миллиардер,792000000,11
761,Большакова Л. Щ.,Женщина,1995,2022,Республика Татарстан,Долл Миллионер,688000000,6
762,Толстоухов Я. К.,Мужчина,1981,2022,Республика Татарстан,Руб Миллионер,838000000,11
763,Токмаков С. Р.,Мужчина,1961,1987,Ульяновская область,Долл Миллиардер,839000000,2
764,Анисимова Б. О.,Женщина,1975,2022,Ульяновская область,Долл Миллиардер,549000000,14
765,Хоробов Б. О.,Мужчина,1988,2022,Ульяновская область,Руб Миллионер,444000000,13
766,Щербакова Н. Е.,Женщина,1972,1993,Республика Татарстан,Руб Миллиардер,119000000,0
767,Якубов У. П.,Мужчина,1981,2019,Ульяновская область,Руб Миллионер,598000000,5
768,Панова Н. З.,Женщина,1964,1992,Ульяновская область,Руб Миллионер,560000000,13
769,Путин Ф. Г.,Мужчина,2003,2022,Казанская область,Руб Миллионер,735000000,1
770,Гурьянов М. Г.,Мужчина,1950,1977,Ульяновская область,Долл Миллионер,978000000,12
771,Власова Л. О.,Женщина,1990,2022,Ульяновская область,Руб Миллионер,160000000,13
772,Пархомчук Ц. Б.,Мужчина,1986,2022,Ульяновская область,Руб Миллиардер,465000000,9
773,Ханаев Щ. Ю.,Мужчина,2003,2022,Республика Татарстан,Долл Миллиардер,420000000,15
774,Борисова С. И.,Женщина,2002,2022,Ульяновская область,Долл Миллиардер,514000000,1
775,Шестакова Ш. Я.,Женщина,2010,2022,Ульяновская область,Долл Миллиардер,18000000,8
776,Лазарева Н. Я.,Женщина,1979,2022,Казанская область,Руб Миллионер,729000000,2
777,Анисимова Ю. Ш.,Женщина,1983,2022,Ульяновская область,Долл Миллиардер,981000000,4
778,Осипова Э. Ч.,Женщина,1970,1985,Ульяновская область,Руб Миллиардер,959000000,4
779,Большакова С. Т.,Женщина,1960,1989,Казанская область,Руб Миллионер,327000000,11
780,Суворова И. З.,Женщина,1960,1997,Ульяновская область,Руб Миллионер,854000000,7
781,Полубинский Ч. Ё.,Мужчина,2010,2022,Ульяновская область,Руб Миллионер,376000000,3
782,Васько У. В.,Мужчина,1979,2022,Республика Татарстан,Долл Миллиардер,418000000,10
783,Скрипицын Р. Ж.,Мужчина,2003,2022,Республика Татарстан,Долл Миллионер,329000000,14
784,Федотова Ф. Ю.,Женщина,1953,2016,Казанская область,Долл Миллионер,842000000,4
785,Вихарев С. О.,Мужчина,1954,2022,Ульяновская область,Руб Миллионер,516000000,0
786,Смураго Г. С.,Мужчина,1990,2022,Республика Татарстан,Долл Миллионер,932000000,0
787,Панова Й. О.,Женщина,1973,1990,Республика Татарстан,Долл Миллиардер,152000000,15
788,Яцуков Ж. О.,Мужчина,2002,2022,Ульяновская область,Долл Миллионер,158000000,13
789,Николаева Х. Д.,Женщина,1967,2022,Казанская область,Долл Миллиардер,247000000,6
790,Хозин Ц. Ё.,Мужчина,1976,2016,Ульяновская область,Долл Миллионер,364000000,12
791,Денисова Ф. В.,Женщина,2010,2022,Казанская область,Долл Миллиардер,592000000,9
792,Крылова Ю. П.,Женщина,1991,2022,Казанская область,Руб Миллиардер,794000000,0
793,Соболева М. В.,Женщина,1976,2014,Казанская область,Руб Миллионер,732000000,10
794,Исакова Т. Г.,Женщина,1972,1991,Ульяновская область,Руб Миллионер,462000000,6
795,Горталов Ю. Ж.,Мужчина,1958,1975,Республика Татарстан,Долл Миллионер,294000000,13
796,Трехденнов Ш. Х.,Мужчина,1964,2012,Казанская область,Долл Миллиардер,979000000,9
797,Монов Ш. И.,Мужчина,1997,2022,Казанская область,Руб Миллионер,497000000,12
798,Никитина П. Ю.,Женщина,1992,2022,Республика Татарстан,Долл Миллионер,682000000,3
799,Дугин Я. Э.,Мужчина,2003,2022,Ульяновская область,Руб Миллионер,519000000,5
800,Портной Ф. Г.,Мужчина,1953,2022,Республика Татарстан,Руб Миллиардер,402000000,0
801,Калинина Р. Ё.,Женщина,2000,2022,Казанская область,Долл Миллионер,290000000,13
802,Цветкова З. Й.,Женщина,1964,2022,Ульяновская область,Руб Миллионер,78000000,1
803,Улиссов Й. Е.,Мужчина,1998,2022,Казанская область,Руб Миллионер,167000000,4
804,Шибаков Й. Ч.,Мужчина,1996,2011,Республика Татарстан,Руб Миллионер,730000000,13
805,Туровский Э. З.,Мужчина,2006,2022,Ульяновская область,Долл Миллиардер,198000000,6
806,Безладный З. З.,Мужчина,1989,2003,Казанская область,Долл Миллиардер,621000000,11
807,Лазарева З. Ю.,Женщина,1951,1979,Республика Татарстан,Долл Миллиардер,22000000,4
808,Кривачев Ш. Э.,Мужчина,1975,2015,Ульяновская область,Руб Миллиардер,728000000,0
809,Лезгунов Щ. Й.,Мужчина,1953,1967,Казанская область,Долл Миллионер,50000000,10
810,Филлипов З. Г.,Мужчина,1973,2022,Республика Татарстан,Руб Миллионер,156000000,7
811,Галкина Ж. В.,Женщина,1970,2022,Республика Татарстан,Долл Миллиардер,268000000,9
812,Кислов О. П.,Мужчина,1956,1988,Казанская область,Долл Миллионер,370000000,0
813,Опарин Д. С.,Мужчина,1990,2022,Республика Татарстан,Долл Миллиардер,427000000,14
814,Тужилов Щ. Б.,Мужчина,2006,2022,Ульяновская область,Руб Миллиардер,798000000,11
815,Крестинский Ю. П.,Мужчина,1971,1995,Казанская область,Руб Миллиардер,286000000,7
816,Сергеева Р. З.,Женщина,1988,2022,Республика Татарстан,Долл Миллиардер,461000000,8
817,Шестакова Т. Э.,Женщина,2000,2022,Республика Татарстан,Руб Миллионер,533000000,2
818,Погребной Х. Р.,Мужчина,2002,2022,Ульяновская область,Долл Миллионер,337000000,6
819,Харламов Х. Ш.,Мужчина,1978,2022,Казанская область,Руб Миллиардер,318000000,15
820,Домарев О. Ю.,Мужчина,1988,2022,Казанская область,Долл Миллиардер,706000000,9
821,Овчинникова Ш. Л.,Женщина,1959,2018,Казанская область,Долл Миллионер,446000000,11
822,Тимофеева Р. С.,Женщина,1981,2022,Ульяновская область,Руб Миллиардер,53000000,10
823,Ленчик Н. З.,Мужчина,2004,2022,Казанская область,Долл Миллионер,332000000,11
824,Грицко М. Д.,Мужчина,1989,2022,Республика Татарстан,Долл Миллионер,593000000,6
825,Дяченко Я. Ц.,Мужчина,2007,2022,Республика Татарстан,Долл Миллиардер,126000000,3
826,Ершова В. Й.,Женщина,2002,2022,Казанская область,Долл Миллиардер,250000000,13
827,Никифорова В. Ё.,Женщина,1965,2013,Республика Татарстан,Долл Миллионер,564000000,7
828,Погуляев Ю. Ё.,Мужчина,1971,1989,Республика Татарстан,Руб Миллионер,853000000,7
829,Левчаков Щ. И.,Мужчина,1980,1998,Ульяновская область,Руб Миллиардер,296000000,6
830,Курчин Я. И.,Мужчина,1968,2006,Ульяновская область,Руб Миллионер,217000000,1
831,Сергеева Я. Н.,Женщина,1989,2022,Казанская область,Долл Миллиардер,261000000,13
832,Максимова И. Ё.,Женщина,1996,2022,Республика Татарстан,Долл Миллиардер,5000000,6
833,Герасимова И. Й.,Женщина,1977,2004,Казанская область,Долл Миллиардер,628000000,4
834,Половинка Ё. Ё.,Мужчина,2003,2022,Казанская область,Долл Миллионер,458000000,11
835,Маркова З. Я.,Женщина,2004,2022,Ульяновская область,Долл Миллиардер,691000000,0
836,Резщиков Ж. Э.,Мужчина,1953,1998,Казанская область,Долл Миллиардер,231000000,15
837,Веселова Э. Й.,Женщина,1974,2022,Ульяновская область,Долл Миллиардер,169000000,13
838,Рыбчин Ю. Н.,Мужчина,1966,2002,Республика Татарстан,Долл Миллиардер,708000000,14
839,Линев П. Ю.,Мужчина,1987,2008,Казанская область,Руб Миллиардер,457000000,2
840,Колесникова А. Ц.,Женщина,1965,2004,Республика Татарстан,Руб Миллиардер,801000000,1
841,Поповский К. Б.,Мужчина,1964,2022,Ульяновская область,Долл Миллиардер,96000000,12
842,Дорофеева Ж. Ф.,Женщина,1996,2022,Республика Татарстан,Долл Миллионер,843000000,1
843,Осипова П. Л.,Женщина,1960,1980,Республика Татарстан,Руб Миллиардер,621000000,8
844,Карконосов Ж. Б.,Мужчина,1964,2021,Республика Татарстан,Руб Миллионер,638000000,14
845,Фалилеев У. З.,Мужчина,1968,1992,Ульяновская область,Руб Миллионер,148000000,6
846,Кудряшова Й. М.,Женщина,2001,2022,Ульяновская область,Руб Миллиардер,751000000,3
847,Родионова З. Б.,Женщина,1961,1996,Казанская область,Руб Миллионер,363000000,3
848,Данилова З. Ж.,Женщина,1988,2022,Ульяновская область,Руб Миллионер,943000000,12
849,Хрюнин Н. Щ.,Мужчина,2009,2022,Ульяновская область,Долл Миллионер,931000000,15
850,Рыбакова Ё. У.,Женщина,1993,2022,Республика Татарстан,Долл Миллиардер,1000000,0
851,Кондрашов Е. Э.,Мужчина,1958,1990,Республика Татарстан,Долл Миллиардер,60000000,11
852,Кушелев Ф. М.,Мужчина,1977,1995,Республика Татарстан,Руб Миллионер,609000000,13
853,Войцеховский Т. З.,Мужчина,1961,1975,Казанская область,Долл Миллиардер,890000000,14
854,Фокеев Б. Ф.,Мужчина,1981,2006,Казанская область,Руб Миллиардер,154000000,4
855,Борисова Ш. К.,Женщина,1959,2022,Республика Татарстан,Руб Миллиардер,675000000,11
856,Казымов А. Т.,Мужчина,1984,2022,Казанская область,Долл Миллиардер,558000000,12
857,Панова Р. Т.,Женщина,1954,2022,Казанская область,Долл Миллиардер,320000000,4
858,Прохнов А. Я.,Мужчина,1958,2022,Ульяновская область,Руб Миллионер,147000000,15
859,Васненко У. П.,Мужчина,1974,2022,Республика Татарстан,Долл Миллиардер,647000000,9
860,Вальков Ц. П.,Мужчина,1978,2022,Ульяновская область,Долл Миллионер,673000000,4
861,Юхимович Б. Ш.,Мужчина,1963,1996,Республика Татарстан,Долл Миллионер,853000000,9
862,Букреев Г. И.,Мужчина,1954,1981,Республика Татарстан,Долл Миллиардер,881000000,0
863,Андреева Й. Щ.,Женщина,1956,2022,Казанская область,Долл Миллионер,585000000,13
